station,correction,approach,SW,LW,RMSE,MAE,mean,median,count
fortleza,raw,GNSS,1,1,5.041400673766517,3.5920746464524624,1.366519661331595,1.4803415922366394,11280
fortleza,raw,DTEC,1,100,4.870782398847986,3.4580189567817077,1.070938948060346,1.2040493517241873,11280
fortleza,raw,Fusion,1,1000,5.821246864396322,4.11439702082985,1.6109969566153255,1.7721528123275156,11280
fortleza,global_bc,GNSS,1,1,4.6919342832163204,3.1792316520941712,-0.2342380718312338,-0.1118717014079765,11280
fortleza,global_bc,DTEC,1,100,4.4815301330259985,3.026689239014578,-0.30102952062217475,-0.13331753293932824,11280
fortleza,global_bc,Fusion,1,1000,5.486995244144812,3.6541831919413044,-0.3654090084894925,-0.12688310091688626,11280
fortleza,local_bc,GNSS,1,1,3.163421942261913,2.235417720026569,-5.039310182695746e-18,0.02991091422970225,11280
fortleza,local_bc,DTEC,1,100,3.267798313099856,2.292811167563688,5.039310182695746e-18,0.04291304789915645,11280
fortleza,local_bc,Fusion,1,1000,3.9009711480302203,2.6516802965080664,-2.2676895822130856e-17,0.06011537539294475,11280
wettzell,raw,GNSS,1,1,3.0609487644739204,2.529121070499569,2.4017673264226223,2.326237039355168,13676
wettzell,raw,DTEC,1,100,3.051204974698849,2.5216552502892076,2.3894283125501667,2.325643102079594,13676
wettzell,raw,Fusion,1,1000,3.0096888542454403,2.494375754971102,2.3596962870506912,2.280533172401288,13676
wettzell,global_bc,GNSS,1,1,2.140185199345059,1.6371242154687597,0.8280259880813324,0.6284230576793562,13676
wettzell,global_bc,DTEC,1,100,2.205589743483606,1.7061525635130539,0.9563625553857574,0.8161511094770775,13676
wettzell,global_bc,Fusion,1,1000,1.9449277919272727,1.5098971728204544,0.3917521174635643,0.2563635987820694,13676
wettzell,local_bc,GNSS,1,1,1.3749558537100983,1.0178594667820067,-1.7145298537645002e-17,-0.053083736435714804,13676
wettzell,local_bc,DTEC,1,100,1.3799032727586213,1.0191339266537318,-1.0391090022815154e-17,-0.049752894193039354,13676
wettzell,local_bc,Fusion,1,1000,1.3562699618186707,1.003177339853517,-4.000569658783834e-17,-0.03339858179046555,13676
sejong,raw,GNSS,1,1,3.810472179029589,3.1218564469991374,2.812581224333016,2.517607786361035,10837
sejong,raw,DTEC,1,100,3.8023172469145936,3.1392492678916657,2.821710174924956,2.5943854660223757,10837
sejong,raw,Fusion,1,1000,3.764072210842196,3.135350084948694,2.820026383167809,2.6951307553498687,10837
sejong,global_bc,GNSS,1,1,2.96471848971443,2.28340366206858,1.2530520577856614,1.056217499121359,10837
sejong,global_bc,DTEC,1,100,2.9968573026124155,2.328606026937862,1.4163416119991041,1.2857086707858156,10837
sejong,global_bc,Fusion,1,1000,2.729794833451885,2.114447860214858,0.8525454690600881,0.8549447045933893,10837
sejong,local_bc,GNSS,1,1,1.9822964749547825,1.4503465713345542,-3.671716637682533e-17,0.0453024991485397,10837
sejong,local_bc,DTEC,1,100,1.9634523568458746,1.4247789701203006,-7.867964223605428e-17,0.0648120591282088,10837
sejong,local_bc,Fusion,1,1000,1.9126939146999338,1.392542449567467,-2.6226547412018093e-17,0.0173892151728838,10837
ishioka,raw,GNSS,1,1,3.856852396943618,3.1763335687603034,2.951601524442144,2.790103230821126,18042
ishioka,raw,DTEC,1,100,3.8050315306911555,3.1583958518523634,2.9247760016576954,2.8410276180480625,18042
ishioka,raw,Fusion,1,1000,3.738011748820506,3.0958651316967085,2.8659493352196272,2.806890474392908,18042
ishioka,global_bc,GNSS,1,1,2.940772250191011,2.2329941704536505,1.5540578016207935,1.3569552091028545,18042
ishioka,global_bc,DTEC,1,100,2.9895931859436122,2.3311508548401023,1.7396120796967172,1.6358406349759504,18042
ishioka,global_bc,Fusion,1,1000,2.6546549097661494,2.0052944101964143,1.05415981133423,0.8893231908720034,18042
ishioka,local_bc,GNSS,1,1,1.9002155511426897,1.4207904786195014,9.451848829532426e-18,-0.03167494260246135,18042
ishioka,local_bc,DTEC,1,100,1.8500890880985625,1.3978129848511387,-3.150616276510809e-17,-0.0105741837187427,18042
ishioka,local_bc,Fusion,1,1000,1.8116749802809138,1.3381396988481336,-4.725924414766213e-18,0.022503620978473853,18042
onsa13ne,raw,GNSS,1,1,2.2739607769290116,1.8784903310583343,1.3619550462168801,1.458210850003642,8101
onsa13ne,raw,DTEC,1,100,2.262752756586358,1.8629166970749316,1.3937670476187365,1.4640724508913436,8101
onsa13ne,raw,Fusion,1,1000,2.1834524630264953,1.8077800983131227,1.3885259093584947,1.453907427381433,8101
onsa13ne,global_bc,GNSS,1,1,1.9572731618786299,1.436434887107677,-0.07617414303523308,0.0675758182418011,8101
onsa13ne,global_bc,DTEC,1,100,1.882739175543657,1.4025019453199745,0.24973134854089568,0.3798096002390699,8101
onsa13ne,global_bc,Fusion,1,1000,1.8373738129168316,1.383726916315794,-0.47511126084542676,-0.4007951215552467,8101
onsa13ne,local_bc,GNSS,1,1,1.4712554212119278,1.0846403727985698,-4.6486563381416255e-17,0.0357463476237503,8101
onsa13ne,local_bc,DTEC,1,100,1.4362070707328438,1.0739036856277508,-1.052525963352821e-17,0.0565856406468041,8101
onsa13ne,local_bc,Fusion,1,1000,1.396523869451693,1.024837156248748,4.210103853411284e-17,0.0486942933670899,8101
onsa13sw,raw,GNSS,1,1,2.265208613705039,1.8555174999797135,1.2697160028281584,1.3816985899172955,6415
onsa13sw,raw,DTEC,1,100,2.2705124774565797,1.8476365029719528,1.3259454729629618,1.3699295840529926,6415
onsa13sw,raw,Fusion,1,1000,2.14986646372695,1.768586259692415,1.3031687478807428,1.3886309837199189,6415
onsa13sw,global_bc,GNSS,1,1,2.070600209242789,1.517121354891745,-0.05840843912021789,0.0706140458203083,6415
onsa13sw,global_bc,DTEC,1,100,2.0020174211599437,1.4932850725243068,0.30371258382480243,0.4003426190267034,6415
onsa13sw,global_bc,Fusion,1,1000,1.8977128449582177,1.4249162990653321,-0.44435965138407635,-0.4068847254987442,6415
